iter	Accuracy	MultiClass
419	0.8296089385	0.5225103227
420	0.8324022346	0.5222235094
421	0.8351955307	0.5217290597
422	0.8324022346	0.5212719087
423	0.8324022346	0.5205734458
424	0.8296089385	0.5201405895
425	0.8324022346	0.5197104658
426	0.8324022346	0.51862818
427	0.8379888268	0.5182803362
428	0.8351955307	0.5167228349
429	0.8351955307	0.5162566333
430	0.8324022346	0.5158076734
431	0.8379888268	0.5155235748
432	0.8379888268	0.5154250673
433	0.8379888268	0.5152601373
434	0.8351955307	0.514888018
435	0.8351955307	0.5140487174
436	0.8351955307	0.5136703674
437	0.8351955307	0.5134114264
438	0.8351955307	0.5127563648
439	0.8351955307	0.5122726901
440	0.8351955307	0.5121596051
441	0.8351955307	0.5112762796
442	0.8351955307	0.510473311
443	0.8351955307	0.5095806189
444	0.8351955307	0.5089677945
445	0.8351955307	0.5087354619
446	0.8351955307	0.5082033824
447	0.8351955307	0.5079035549
448	0.8351955307	0.5076373658
449	0.8351955307	0.5071029048
450	0.8351955307	0.50668988
451	0.8351955307	0.5066350845
452	0.8351955307	0.506126901
453	0.8407821229	0.5051861599
454	0.843575419	0.5046573699
455	0.843575419	0.5045976095
456	0.843575419	0.5042585115
457	0.843575419	0.5037296572
458	0.8407821229	0.5032513634
459	0.8351955307	0.5022442736
460	0.8351955307	0.5019018006
461	0.8351955307	0.5014568137
462	0.8324022346	0.5005868549
463	0.8324022346	0.5003721495
464	0.8324022346	0.4990679126
465	0.8324022346	0.4988683094
466	0.8324022346	0.4984173077
467	0.8407821229	0.4980587593
468	0.8351955307	0.4974069884
469	0.8407821229	0.4968855907
470	0.843575419	0.4960603479
471	0.8463687151	0.4950069112
472	0.8463687151	0.4947818351
473	0.8491620112	0.4940620491
474	0.8491620112	0.4938554121
475	0.8491620112	0.493566291
476	0.8491620112	0.4926893797
477	0.8463687151	0.4920292555
478	0.8463687151	0.4913453581
479	0.8463687151	0.4907629776
480	0.8463687151	0.4904370802
481	0.8463687151	0.4901442751
482	0.8463687151	0.4897520647
483	0.8463687151	0.4892102232
484	0.8463687151	0.4888726107
485	0.8491620112	0.4878749476
486	0.8491620112	0.4873950651
487	0.8491620112	0.4869106642
488	0.8491620112	0.4866897983
489	0.8491620112	0.4859212488
490	0.8491620112	0.4854615768
491	0.8519553073	0.4844547805
492	0.8519553073	0.4843110028
493	0.8519553073	0.4839291149
494	0.8519553073	0.4833762442
495	0.8519553073	0.4830150087
496	0.8519553073	0.4819839702
497	0.8519553073	0.4815983851
498	0.8519553073	0.481318368
499	0.8519553073	0.4808528136
500	0.8519553073	0.4792157744
501	0.8519553073	0.4787858614
502	0.8519553073	0.4780992381
503	0.8519553073	0.4778793105
504	0.8519553073	0.4773169825
505	0.8491620112	0.4764548111
